District,City,Latitude,Longitude,Price,PriceMillionPerM2,Size,LandType,Width,Length,Legalty,Ward
769,79,10.786205,106.73155,16000000000,133.33333,120.0,1,5.0,24.0,1.0,27094
769,79,10.8083,106.7768,10400000000,130.0,80.0,2,5.0,16.0,1.0,26848
643,66,12.645724,108.01616,899000000,4.495,200.0,1,6.0,35.0,1.0,24154
672,68,11.949094,108.40492,6500000000,32.82828,198.0,1,9.3,21.0,1.0,24790
801,80,10.843,106.3106,550000000,1.8333334,300.0,1,10.0,30.0,1.0,27919
801,80,10.933,106.2639,450000000,0.45,1000.0,4,21.0,49.0,1.0,27904
268,1,20.934893,105.73232,3600000000,57.142857,63.0,1,,,1.0,10117
697,70,11.455277,106.71167,750000000,2.8846154,260.0,1,,,1.0,25450
803,80,10.684798,106.517166,11000000000,0.99250215,11083.1,4,,,1.0,28009
672,68,11.921522,108.5268,2950000000,4.8202615,612.0,4,11.0,45.0,1.0,24805
776,79,10.698606,106.62499,4400000000,40.0,110.0,1,,,1.0,27433
777,79,10.747893,106.6085,23500000000,199.15254,118.0,1,6.0,23.5,1.0,27451
725,74,10.877594,106.699776,7450000000,28.988327,257.0,1,11.0,27.5,1.0,25990
495,48,16.005892,108.22402,3680000000,36.8,100.0,2,5.0,20.0,1.0,20314
723,74,11.138816,106.797485,1300000000,13.0,100.0,1,5.0,20.0,1.0,25915
721,74,11.1044445,106.62324,1150000000,9.274194,124.0,1,5.0,24.0,1.0,25846
672,68,11.935876,108.432335,7000000000,69.30693,101.0,1,6.5,16.0,1.0,24793
785,79,10.783586,106.506714,4700000000,4.1286016,1138.4,4,,,1.0,27607
724,74,10.920003,106.74147,2590000000,31.97531,81.0,1,4.0,20.0,1.0,25948
740,75,10.810915,106.960815,12500000000,3.101737,4030.0,1,22.0,,1.0,26392
17,1,21.147089,105.814354,2360000000,39.333332,60.0,1,,,1.0,481
916,92,10.035305,105.74649,1450000000,34.52381,42.0,1,,,1.0,31149
720,74,11.335926,106.49949,2480000000,1.0939568,2267.0,4,105.0,22.6,1.0,25792
21,1,21.092304,105.78167,6200000000,83.78378,74.0,1,8.5,,1.0,601
21,1,21.053493,105.763855,13900000000,113.934425,122.0,1,8.0,,1.0,619
769,79,10.793245,106.73913,16200000000,135.0,120.0,1,5.0,24.0,1.0,27094
490,48,16.051016,108.15244,1270000000,21.166666,60.0,1,4.0,15.0,1.0,20198
784,79,10.914023,106.591255,7507500000,6.7696123,1109.0,4,15.0,77.0,1.0,27562
18,1,21.0261,105.9401,4200000000,101.69516,41.2999,1,4.44,9.0,1.0,553
497,48,16.084671,108.10237,1650000000,4.714286,350.0,1,9.0,35.0,1.0,20296
672,68,11.935876,108.432335,5200000000,50.980392,102.0,1,5.0,20.0,1.0,24793
769,79,10.824055,106.78116,6700000000,62.152134,107.8,2,5.0,22.0,1.0,26848
494,48,15.986558,108.26741,4000000000,36.036037,111.0,2,6.0,18.5,1.0,20290
494,48,15.98728,108.26717,3330000000,37.0,90.0,2,6.0,15.0,1.0,20290
513,49,15.6982,108.3386,450000000,0.75,600.0,1,20.0,30.0,1.0,20824
491,48,16.073128,108.20105,10500000000,84.0,125.0,1,5.0,25.0,1.0,20209
673,68,11.500349,107.77547,2490000000,4.383803,568.0,1,16.0,35.5,1.0,24841
494,48,15.986558,108.26741,3100000000,22.710623,136.5,1,,,1.0,20290
786,79,10.6997,106.7042,4350000000,53.703705,81.0,1,5.5,14.6999,1.0,27646
785,79,10.720011,106.670395,6300000000,52.5,120.0,1,8.0,15.0,1.0,27619
497,48,16.0781,108.0858,1420000000,9.466666,150.0,1,5.0,,1.0,20296
765,79,10.829622,106.70577,26000000000,140.69264,184.8,1,8.3999,22.0,1.0,26905
495,48,16.01194,108.21846,3850000000,38.5,100.0,2,,,1.0,20314
785,79,10.660624,106.60335,1130000000,9.576271,118.0,1,7.0,17.0,1.0,27634
778,79,10.736592,106.701126,19300000000,170.04405,113.5,1,7.0,18.0,1.0,27490
725,74,10.8774,106.6996,2650000000,18.928572,140.0,1,,,1.0,25990
785,79,10.668168,106.62324,8900000000,5.5625,1600.0,4,17.0,95.0,1.0,27628
697,70,11.482726,106.61734,580000000,2.0788531,279.0,1,5.0,51.0,1.0,25441
761,79,10.8834305,106.670395,15500000000,36.643024,423.0,1,9.0,47.0,1.0,26764
769,79,10.8283,106.7723,10900000000,66.06061,165.0,2,8.0,21.0,1.0,26848
650,66,12.8865,108.3919,750000000,1.5416238,486.5,1,9.5,50.0,1.0,24364
643,66,12.707781,108.056366,2500000000,26.595745,94.0,1,5.0,19.0,1.0,24136
681,68,11.394113,107.72809,830000000,0.415,2000.0,4,60.0,35.0,1.0,25114
507,49,15.915716,108.27038,4200000000,14.0,300.0,1,,,1.0,20579
495,48,16.0087,108.17548,1220000000,12.2,100.0,1,6.5,17.0,1.0,20311
722,74,11.326824,106.75295,1500000000,4.237288,354.0,1,10.0,35.0,1.0,25873
899,91,10.036169,105.095375,998000000,0.657444,1518.0,4,12.0,126.0,1.0,30760
494,48,15.9899,108.2677,3500000000,38.88889,90.0,1,5.0,18.0,1.0,20290
